generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name,api_key_disabled
gen-1787482803-jNqZGTbMQhvmVVFMA4GN,2026-08-23 11:00:03.547,0.003969,,0.000768,,0,13979,95,64,0,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,4520,3750,Hermes Agent,sample-agent-key,false
gen-1787396462-prPEDkN4p64IUnJroKB3,2026-08-22 11:01:02.169,0.000525,,-0.002947,,0,16585,130,53,16419,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,stop,3714,3476,Hermes Agent,sample-agent-key,false
gen-1787396461-dBpvSNHrjqaWRleaJZUl,2026-08-22 11:01:01.220,0.000074,,,,0,329,7,0,0,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,stop,707,608,Hermes Agent,sample-agent-key,false
gen-1787396457-CPWvyL62xu9aPr37FWIp,2026-08-22 11:00:57.565,0.000514,,-0.002896,,0,16422,106,8,16164,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,3409,2691,Hermes Agent,sample-agent-key,false
gen-1787396452-hdks1u1g7nvwHpCRKVUu,2026-08-22 11:00:52.882,0.001025,,-0.002406,,0,16167,165,103,13976,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,4470,3603,Hermes Agent,sample-agent-key,false
gen-1787396443-pG9atc7osSStzKEaIm7g,2026-08-22 11:00:43.837,0.00386,,0.000698,,0,13979,305,124,0,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,5691,4276,Hermes Agent,sample-agent-key,false
gen-1787313652-D2UjD1zzzp0I3g3xHLHD,2026-08-21 12:00:52.701,0.006893,,-0.037305,,0,198900,334,75,190692,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,stop,9859,6168,Hermes Agent,sample-agent-key,false
gen-1787313642-ZBUfwjw38ejydd7wFDg5,2026-08-21 12:00:42.844,0.052557,,0.010488,,0,190695,88,60,0,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,7250,6440,Hermes Agent,sample-agent-key,false
gen-1787310086-CirTVbQSP58QrQHAqhSL,2026-08-21 11:01:26.239,0.000689,,-0.004266,,0,23947,139,54,23754,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,stop,3362,2904,Hermes Agent,sample-agent-key,false
gen-1787310078-ErU61vfwVWjTLcxGVp7H,2026-08-21 11:01:18.264,0.000654,,-0.004217,,0,23757,100,30,23500,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,7854,4518,Hermes Agent,sample-agent-key,false
gen-1787310072-ohLYoYQdd9o5CB6ioPGW,2026-08-21 11:01:12.888,0.001008,,-0.003941,,0,23503,208,138,22246,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,5232,4792,Hermes Agent,sample-agent-key,false
gen-1787310067-o3wTRdcx0x5CYdPcCPB8,2026-08-21 11:01:07.254,0.000594,,-0.003967,,0,22249,93,34,22084,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,5373,4090,Hermes Agent,sample-agent-key,false
gen-1787310058-0HZLkC4HgGuepAUsvlkP,2026-08-21 11:00:58.193,0.002047,,-0.002516,,0,22087,122,54,15741,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,8155,7124,Hermes Agent,sample-agent-key,false
gen-1787310054-cgWLqB124htTRSYT9ky6,2026-08-21 11:00:54.479,0.000817,,-0.002427,,0,15744,80,14,13976,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,2705,2494,Hermes Agent,sample-agent-key,false
gen-1787310049-Gb2DfNXCSYYS6cVVb9Rm,2026-08-21 11:00:49.175,0.003624,,0.000698,,0,13979,108,77,0,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,4867,3691,Hermes Agent,sample-agent-key,false
gen-1787259769-RHzbwdeb6n78DBvCdxvh,2026-08-20 21:02:49.768,0.052563,,0.010445,,0,189930,252,0,0,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,stop,8567,6680,Hermes Agent,sample-agent-key,false
gen-1787259761-fIebT6ZITqF1QB2Zkqjp,2026-08-20 21:02:41.340,0.047568,,0.009489,,0,189799,99,67,0,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,7905,6528,Hermes Agent,sample-agent-key,false
gen-1787254888-g2ltmrKONgweLkOMABMR,2026-08-20 19:41:28.983,0.00409,,-0.034041,,0,189600,177,0,189225,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,stop,6975,4651,Hermes Agent,sample-agent-key,false
gen-1787254879-KH2aAkzB8No7W21Bam0F,2026-08-20 19:41:19.035,0.004117,,-0.034012,,0,189228,237,0,189017,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,9372,7819,Hermes Agent,sample-agent-key,false
gen-1787254873-191mXbPLzEVKYCVF2nIL,2026-08-20 19:41:13.764,0.004065,,-0.033899,,0,189020,134,0,188479,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,4778,3578,Hermes Agent,sample-agent-key,false
gen-1787254864-zSBUhalDTJnHJfTwrVYY,2026-08-20 19:41:04.491,0.004306,,-0.033858,,0,188482,390,221,188183,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,8440,7162,Hermes Agent,sample-agent-key,false
gen-1787254860-nfv7A1PmlGKu3kQhs5mM,2026-08-20 19:41:00.030,0.000172,,,,0,359,71,62,0,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,stop,3090,2275,Hermes Agent,sample-agent-key,false
gen-1787254851-Lqacnvs3IhNxKhNPmhEc,2026-08-20 19:40:51.210,0.004608,,-0.033561,,0,188186,444,310,186831,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,8390,7757,Hermes Agent,sample-agent-key,false
gen-1787254836-IMsQNVorVCjHcjyaQq7m,2026-08-20 19:40:36.152,0.005849,,-0.031907,,0,186834,325,142,179343,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,13683,13105,Hermes Agent,sample-agent-key,false
gen-1787254814-nwbfY5sTu6AKqu6R272J,2026-08-20 19:40:14.622,0.045642,,0.008967,,0,179346,672,189,0,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,12981,12481,Hermes Agent,sample-agent-key,false
gen-1787253797-O6vKy0dtGzwT3yrNZaft,2026-08-20 19:23:17.717,0.003071,,-0.011827,,0,212189,325,0,211200,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,stop,stop,4884,1865,Hermes Agent,sample-agent-key,false
gen-1787253790-6RDK2bf2pBN6WJxtgOXx,2026-08-20 19:23:10.390,0.003115,,-0.011784,,0,211244,802,0,210432,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,6804,1671,Hermes Agent,sample-agent-key,false
gen-1787253787-R1tqBewPM9yzFeTN8r6M,2026-08-20 19:23:07.384,0.003047,,-0.011712,,0,210571,141,0,209152,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,2472,1710,Hermes Agent,sample-agent-key,false
gen-1787253784-Wy40QohxKh3yF8xfieyq,2026-08-20 19:23:04.595,0.003094,,-0.011569,,0,209277,105,0,206592,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,2275,1696,Hermes Agent,sample-agent-key,false
gen-1787253781-5ExGRUQraLCLMZdzHET1,2026-08-20 19:23:01.300,0.002964,,-0.011511,,0,206634,87,0,205568,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,2680,2131,Hermes Agent,sample-agent-key,false
gen-1787253773-gWhtoRGB5d8DsUOipk6m,2026-08-20 19:22:53.185,0.003098,,-0.011425,,0,205632,928,0,204032,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,7645,1687,Hermes Agent,sample-agent-key,false
gen-1787253762-Ge9PqkACeihhsfQQhIRk,2026-08-20 19:22:42.519,0.003446,,-0.010909,,0,203293,896,869,194816,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,9386,1798,Hermes Agent,sample-agent-key,false
gen-1787253758-WZySQvK4wTZFAd6a7QZZ,2026-08-20 19:22:38.488,0.00291,,-0.011253,,0,201830,259,0,200960,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,stop,stop,3378,1679,Hermes Agent,sample-agent-key,false
gen-1787253754-wewPfV4Q854TPjDwjfbO,2026-08-20 19:22:34.492,0.002903,,-0.01121,,0,201000,316,100,200192,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,3197,1755,Hermes Agent,sample-agent-key,false
gen-1787253746-wk5ivyOcBTG8zOdbihRX,2026-08-20 19:22:26.584,0.002903,,-0.011167,,0,200362,328,1,199424,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,7368,1636,Hermes Agent,sample-agent-key,false
gen-1787253740-9zdt0rNUHtID5QRn0yS9,2026-08-20 19:22:20.294,0.002909,,-0.011124,,0,199282,604,248,198656,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,5103,1932,Hermes Agent,sample-agent-key,false
gen-1787253735-uO0LjQOJS6FKokukWD9L,2026-08-20 19:22:15.637,0.002891,,-0.011053,,0,198390,410,49,197376,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,3708,1672,Hermes Agent,sample-agent-key,false
gen-1787253730-DuhmApYAC0cJMdZ3Uyj1,2026-08-20 19:22:10.898,0.00287,,-0.01101,,0,197529,382,30,196608,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,3619,1828,Hermes Agent,sample-agent-key,false
gen-1787253725-WZqiEbXAi0YPOVPX0kvT,2026-08-20 19:22:05.619,0.002852,,-0.010967,,0,196667,381,0,195840,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,4250,2154,Hermes Agent,sample-agent-key,false
gen-1787253715-HwfbkQJRd4vi5LWX6ETw,2026-08-20 19:21:55.055,0.013756,,,,0,195902,312,0,0,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,9655,7749,Hermes Agent,sample-agent-key,false
gen-1787253699-KnSc77dZDuSmsO7e76oN,2026-08-20 19:21:39.702,0.048151,,0.009562,,0,173872,255,107,0,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,7229,6887,Hermes Agent,sample-agent-key,false
gen-1787253294-YhqSu3sDAKvSTvUDyt2N,2026-08-20 19:14:54.537,0.004341,,-0.031105,,0,172982,709,99,172846,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,stop,10632,5586,Hermes Agent,sample-agent-key,false
gen-1787253287-keDo0m2O38tqoI4W4b97,2026-08-20 19:14:47.835,0.00377,,-0.030997,,0,172849,165,132,172345,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,6219,5739,Hermes Agent,sample-agent-key,false
gen-1787253036-w3HLRMoYs6JKg5nc7jRV,2026-08-20 19:10:36.745,0.00415,,-0.030658,,0,172348,283,0,170763,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,stop,6145,3598,Hermes Agent,sample-agent-key,false
gen-1787253022-sLZd7pS5RqKeZXQ9GRhn,2026-08-20 19:10:22.662,0.004611,,-0.030586,,0,170766,871,68,170107,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,13207,12786,Hermes Agent,sample-agent-key,false
gen-1787252585-pOQCjNlqYnBe5RLrcoIW,2026-08-20 19:03:05.695,0.004124,,-0.030487,,0,170110,492,0,169534,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,stop,12101,4068,Hermes Agent,sample-agent-key,false
gen-1787252574-J6PF6oCRL1Fld4N2vy0A,2026-08-20 19:02:54.949,0.004058,,-0.030141,,0,169537,244,0,167907,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,9818,7176,Hermes Agent,sample-agent-key,false
gen-1787252563-dxsgxQ3bg58rrYMB0hEk,2026-08-20 19:02:43.383,0.004359,,-0.030163,,0,167910,784,0,167646,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,10564,2857,Hermes Agent,sample-agent-key,false
gen-1787252557-Z6EvYoKEr905gs8UHgMP,2026-08-20 19:02:37.751,0.003603,,-0.030149,,0,167649,186,0,167531,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,5125,3760,Hermes Agent,sample-agent-key,false
gen-1787252549-D8jj8syITVMh0rQRuQPi,2026-08-20 19:02:29.569,0.003578,,-0.029976,,0,167534,40,0,166751,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,7766,7153,Hermes Agent,sample-agent-key,false
gen-1787252535-2vFO9a4kQbWVHuPvI0CA,2026-08-20 19:02:15.159,0.003769,,-0.029804,,0,166754,186,0,165833,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,13686,10238,Hermes Agent,sample-agent-key,false
gen-1787252520-bbiW4tN7ptt4OwRQtutk,2026-08-20 19:02:00.684,0.042032,,0.008291,,0,165836,478,203,0,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,13893,8835,Hermes Agent,sample-agent-key,false
gen-1787235409-aOTaH8uYWgO918m0kL3C,2026-08-20 14:16:49.800,0.004622,,-0.032205,,0,164723,446,178,163103,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,stop,9897,6545,Hermes Agent,sample-agent-key,false
gen-1787235403-1TiY4mbjX93XT4jDF1pj,2026-08-20 14:16:43.965,0.000272,,,,0,616,124,115,0,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,stop,4671,3701,Hermes Agent,sample-agent-key,false
gen-1787235392-LkhtzLg7uVvSZ26odayT,2026-08-20 14:16:32.757,0.045482,,0.00897,,0,163106,476,75,0,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,9319,6206,Hermes Agent,sample-agent-key,false
gen-1787223692-8WIboYWctUKtMGLUAelr,2026-08-20 11:01:32.796,0.001095,,-0.002756,,0,17483,296,215,15786,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,stop,7803,6033,Hermes Agent,sample-agent-key,false
gen-1787223619-lbMkNrU4kSZqjJ7ZngVn,2026-08-20 11:00:19.343,0.000996,,-0.002435,,0,15789,229,89,14022,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,10376,7412,Hermes Agent,sample-agent-key,false
gen-1787223614-8Qi4KxalFlM9eiOLLlcg,2026-08-20 11:00:14.599,0.003617,,0.000701,,0,14025,93,62,0,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,4117,3113,Hermes Agent,sample-agent-key,false
gen-1787183157-OOKaagN7cHGA4NMFDe7V,2026-08-19 23:45:57.573,0.003588,,-0.029947,,0,167102,97,0,166534,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,stop,7032,5113,Hermes Agent,sample-agent-key,false
gen-1787183150-YS98U87kbVzJTkLqMfGe,2026-08-19 23:45:50.147,0.004161,,-0.029737,,0,166537,493,0,165495,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,6995,3015,Hermes Agent,sample-agent-key,false
gen-1787183131-72tzKVdIy0lCb6M8cX09,2026-08-19 23:45:31.134,0.004624,,-0.029562,,0,165498,906,0,164511,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,18582,7602,Hermes Agent,sample-agent-key,false
gen-1787183105-SGSplHvMw4r79xS3nJFh,2026-08-19 23:45:05.488,0.005246,,-0.029234,,0,164514,1315,404,162870,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,25275,12808,Hermes Agent,sample-agent-key,false
gen-1787183097-VlDw3OBRuOajGvR3bisp,2026-08-19 23:44:57.342,0.003366,,-0.029294,,0,162873,72,0,162773,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,stop,7561,6709,Hermes Agent,sample-agent-key,false
gen-1787183083-RAlx7GZAD1oZQFNwdmMS,2026-08-19 23:44:43.384,0.003795,,-0.029267,,0,162776,423,341,162635,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,stop,9875,6085,Hermes Agent,sample-agent-key,false
gen-1787183043-I6A6HI7JjEIg2rNwdde6,2026-08-19 23:44:03.228,0.003643,,-0.029198,,0,162638,262,146,162306,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,stop,5948,4902,Hermes Agent,sample-agent-key,false
gen-1787182895-2B4cNwo87BEZ22m2OtDY,2026-08-19 23:41:35.604,0.00424,,-0.029091,,0,162309,725,478,161769,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,stop,13689,10673,Hermes Agent,sample-agent-key,false
gen-1787182555-sPQdZ1HpyhU0HJ9Ce8BX,2026-08-19 23:35:55.172,0.00447,,-0.029037,,0,161772,962,516,161419,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,stop,13215,9940,Hermes Agent,sample-agent-key,false
gen-1787182545-nGgLGi7NqslecaLLbtSz,2026-08-19 23:35:45.905,0.004799,,-0.027786,,0,161422,252,112,155904,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,8338,6650,Hermes Agent,sample-agent-key,false
gen-1787181952-2VA9Wt6469JsNbvn0MQm,2026-08-19 23:25:52.071,0.004154,,-0.028869,,0,160856,711,334,160489,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,stop,10658,6618,Hermes Agent,sample-agent-key,false
gen-1787181648-xboeWiuA6MUrFyUM5oj3,2026-08-19 23:20:48.182,0.000283,,,,0,566,142,133,0,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,stop,3497,3390,Hermes Agent,sample-agent-key,false
gen-1787181637-HEIQjhbcEzw5rzSTY3gy,2026-08-19 23:20:37.155,0.004261,,-0.028512,,0,160492,563,298,158858,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,10313,6273,Hermes Agent,sample-agent-key,false
gen-1787181624-gQoykRdvJgEtosDzI8Vd,2026-08-19 23:20:24.610,0.004579,,-0.028044,,0,158861,710,225,156467,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,11792,6370,Hermes Agent,sample-agent-key,false
gen-1787181522-S4VRzTSpEAMWhYOuymFX,2026-08-19 23:18:42.056,0.00701,,-0.028034,,0,156470,3126,829,155904,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,101826,22874,Hermes Agent,sample-agent-key,false
gen-1787181490-MXcbsOkRWJlkWCx5wxqx,2026-08-19 23:18:10.763,0.006137,,-0.025848,,0,155907,670,622,146275,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,27306,10816,Hermes Agent,sample-agent-key,false
gen-1787181488-ixLV0dz1d5M2FkdoXWvS,2026-08-19 23:18:08.131,0.000112,,,,0,340,37,28,0,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,stop,2128,1544,Hermes Agent,sample-agent-key,false
gen-1787181478-BXJXuScHAfAhkDq5HYWJ,2026-08-19 23:17:58.212,0.003938,,-0.025834,,0,146278,431,311,144121,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,9452,6397,Hermes Agent,sample-agent-key,false
gen-1787181464-tAUAbBuwxA1f3tmPRFeU,2026-08-19 23:17:44.535,0.004524,,-0.025297,,0,144124,831,468,141319,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,12180,6035,Hermes Agent,sample-agent-key,false
gen-1787181455-FWLxQNAgVAOubAHcqvzo,2026-08-19 23:17:35.218,0.00029,,,,0,498,137,128,0,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,stop,3364,3349,Hermes Agent,sample-agent-key,false
gen-1787181440-UagT8WKSNwcIFIYwo5xk,2026-08-19 23:17:20.490,0.003182,,-0.025408,,0,141322,272,0,141194,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,13901,8016,Hermes Agent,sample-agent-key,false
gen-1787181425-nZL4DoAorYVdEgCmhJpK,2026-08-19 23:17:05.362,0.035331,,0.007059,,0,141197,27,0,0,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,14690,12652,Hermes Agent,sample-agent-key,false
gen-1787165650-3UrFyRvnnaWP5Mr49TgE,2026-08-19 18:54:10.317,0.035321,,0.00704,,0,140806,100,0,0,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,stop,8959,7632,Hermes Agent,sample-agent-key,false
gen-1787161737-0RceFrrXcYfDN4GhzC8u,2026-08-19 17:48:57.711,0.003123,,-0.025258,,0,140565,224,0,140375,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,stop,10871,7345,Hermes Agent,sample-agent-key,false
gen-1787161733-Ok4xaqfHdYdaJ0gSbPVP,2026-08-19 17:48:53.172,0.003117,,-0.025092,,0,140378,112,0,139614,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,4075,3081,Hermes Agent,sample-agent-key,false
gen-1787161710-McWvK9abDsG7rOrLNmMG,2026-08-19 17:48:30.760,0.035286,,0.00698,,0,139617,319,0,0,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,21558,12218,Hermes Agent,sample-agent-key,false
gen-1787152497-kPrKMD5asObY6BKwWrIL,2026-08-19 15:14:57.647,0.002922,,-0.025023,,0,139389,57,0,139098,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,stop,12268,9303,Hermes Agent,sample-agent-key,false
gen-1787152115-ZIvC4G6cBZ3L5PRjF7wj,2026-08-19 15:08:35.608,0.003152,,-0.024976,,0,139101,257,0,138830,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,stop,10366,7384,Hermes Agent,sample-agent-key,false
gen-1787152110-WfkkjgcUgpUNXxcbO3dW,2026-08-19 15:08:30.777,0.003122,,-0.024877,,0,138833,195,0,138344,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,4274,2680,Hermes Agent,sample-agent-key,false
